"Part";"Value";"Device";"Package";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"RS_PART_NUMBER";"RS_PRICE-STOCK";
"C8";"100nF";"C-EUC0603_DWS";"C0603_DWS";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"C9";"100nF";"C-EUC0603_DWS";"C0603_DWS";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"C10";"100nF";"C-EUC0603_DWS";"C0603_DWS";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"C11";"100nF";"C-EUC0603_DWS";"C0603_DWS";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"C12";"100nF";"C-EUC0603_DWS";"C0603_DWS";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"C13";"100nF";"C-EUC0603_DWS";"C0603_DWS";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"C14";"100nF";"C-EUC0603_DWS";"C0603_DWS";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"C15";"2.2uF/6.3V";"C-EUC0603_DWS";"C0603_DWS";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"C16";"10uF/6.3V";"C-EUC0603_DWS";"C0603_DWS";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"C17";"100nF";"C-EUC0603_DWS";"C0603_DWS";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"C18";"100nF";"C-EUC0603_DWS";"C0603_DWS";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";
